ImageId,ClassId
1,972
2,20
3,241
4,52
5,350
6,125
7,297
8,79
9,332
10,28
11,115
12,250
13,19
14,42
15,115
16,114
17,590
18,372
19,173
20,220
21,67
22,70
23,5
24,468
25,226
26,5
27,146
28,353
29,981
30,584
31,19
32,594
33,480
34,19
35,19
36,220
37,287
38,212
39,363
40,23
41,15
42,853
43,328
44,478
45,253
46,837
47,87
48,87
49,233
50,342
51,135
52,138
53,5
54,102
55,10
56,362
57,164
58,94
59,713
60,76
61,886
62,37
63,627
64,420
65,921
66,143
67,581
68,177
69,74
70,640
71,921
72,20
73,714
74,115
75,39
76,492
77,311
78,484
79,16
80,678
81,431
82,5
83,440
84,480
85,249
86,48
87,241
88,238
89,158
90,221
91,321
92,208
93,180
94,180
95,521
96,285
97,92
98,52
99,143
100,104
101,166
102,59
103,462
104,526
105,376
106,498
107,554
108,104
109,130
110,422
111,123
112,269
113,301
114,83
115,318
116,197
117,595
118,226
119,59
120,173
121,361
122,185
123,215
124,143
125,209
126,393
127,82
128,453
129,580
130,19
131,48
132,48
133,46
134,83
135,838
136,397
137,11
138,96
139,146
140,180
141,334
142,102
143,254
144,650
145,166
146,287
147,292
148,209
149,892
150,339
151,440
152,26
153,837
154,41
155,52
156,59
157,155
158,72
159,326
160,770
161,220
162,161
163,176
164,663
165,51
166,210
167,420
168,52
169,170
170,180
171,357
172,206
173,42
174,28
175,397
176,34
177,59
178,168
179,280
180,328
181,828
182,210
183,220
184,24
185,150
186,145
187,858
188,10
189,90
190,341
191,96
192,59
193,102
194,552
195,24
196,82
197,765
198,123
199,19
200,710
201,314
202,297
203,220
204,86
205,28
206,79
207,52
208,359
209,164
210,19
211,230
212,107
213,124
214,656
215,26
216,583
217,42
218,503
219,58
220,89
221,463
222,72
223,551
224,72
225,24
226,526
227,215
228,836
229,1014
230,788
231,220
232,11
233,24
234,287
235,210
236,10
237,477
238,1062
239,672
240,341
241,57
242,20
243,565
244,79
245,48
246,164
247,46
248,372
249,328
250,166
251,24
252,928
253,234
254,220
255,363
256,105
257,72
258,233
259,569
260,324
261,283
262,42
263,1000
264,228
265,234
266,21
267,258
268,105
269,14
270,28
271,215
272,1072
273,481
274,79
275,228
276,161
277,282
278,633
279,353
280,341
281,0
282,238
283,246
284,19
285,663
286,160
287,114
288,878
289,195
290,64
291,182
292,702
293,229
294,514
295,297
296,59
297,111
298,14
299,97
300,636
301,42
302,24
303,979
304,218
305,299
306,887
307,256
308,53
309,204
310,904
311,139
312,52
313,20
314,100
315,168
316,26
317,206
318,213
319,861
320,220
321,290
322,58
323,241
324,0
325,14
326,203
327,215
328,185
329,67
330,153
331,1067
332,330
333,602
334,139
335,105
336,125
337,458
338,280
339,409
340,114
341,742
342,160
343,506
344,45
345,53
346,854
347,82
348,593
349,17
350,48
351,233
352,118
353,208
354,290
355,420
356,52
357,282
358,24
359,540
360,58
361,14
362,24
363,715
364,102
365,102
366,113
367,79
368,847
369,143
370,19
371,285
372,359
373,464
374,56
375,730
376,458
377,123
378,73
379,160
380,146
381,26
382,968
383,145
384,428
385,226
386,425
387,39
388,76
389,208
390,220
391,378
392,379
393,72
394,581
395,258
396,74
397,737
398,82
399,272
400,79
401,52
402,492
403,306
404,108
405,554
406,82
407,327
408,109
409,24
410,636
411,590
412,330
413,204
414,539
415,210
416,185
417,16
418,161
419,447
420,35
421,403
422,341
423,57
424,68
425,102
426,72
427,601
428,23
429,353
430,14
431,738
432,128
433,143
434,46
435,74
436,20
437,551
438,444
439,982
440,78
441,378
442,590
443,210
444,296
445,327
446,5
447,231
448,593
449,74
450,68
451,280
452,24
453,285
454,191
455,114
456,335
457,431
458,114
459,24
460,514
461,161
462,102
463,42
464,764
465,279
466,109
467,123
468,253
469,799
470,72
471,640
472,290
473,580
474,459
475,5
476,848
477,560
478,96
479,24
480,180
481,52
482,298
483,19
484,340
485,428
486,14
487,184
488,341
489,517
490,53
491,19
492,176
493,115
494,48
495,82
496,59
497,24
498,146
499,119
500,12
501,115
502,30
503,90
504,317
505,284
506,140
507,184
508,145
509,182
510,654
511,19
512,67
513,220
514,59
515,750
516,383
517,639
518,928
519,115
520,378
521,15
522,282
523,379
524,701
525,10
526,42
527,319
528,716
529,11
530,864
531,357
532,210
533,42
534,48
535,273
536,689
537,19
538,24
539,812
540,572
541,576
542,58
543,29
544,363
545,197
546,397
547,209
548,165
549,53
550,598
551,419
552,26
553,171
554,26
555,143
556,113
557,42
558,51
